"","studID","pointsSum"
"1","283483",NA
"2","281298",13
"3","279714",13
"4","273350",20
"5","281305",0
"6","273285",15
"7","281319",14
"8","283485",24
"9","278767",0
"10","280820",42
"11","281295",19
"12","278746",31
"13","283482",19
"14","259414",0
"15","280225",25
"16","273419",26
"17","281297",18
"18","279347",43
"19","281506",33
"20","281303",48
"21","281308",34
"22","281300",34
"23","272826",30
"24","278637",36
"25","2875",0
"26","281310",35
"27","245634",16
"28","281309",47
"29","279376",53
"30","278717",12
"31","275592",56
"32","281316",43
"33","283481",37
"34","281306",50
"35","280226",45
"36",NA,0
