yearofcasesofdrunkanddriving;knownCases;confirmedCases;detection(%)
2021;58085;58054;99.9
2020;52907;52861;99.9
2019;56207;56158;99.9
2018;51499;51464;99.9
2017;55170;55089;99.8
2016;60443;60333;99.8
2015;64336;64192;99.8
2014;73920;73787;99.8
2013;128064;127908;99.9
2012;141863;141958;100
2011;150763;150806;100
2010;142144;142183;100
2009;151762;151808;100
2008;150074;150101;100
2007;150382;150435;100
2006;180955;181012;100
2005;178571;178597;100
2004;158543;158533;100
2003;150901;150882;100
2002;144412;144375;100
2001;120113;120042;99.9
